slug,path,topic,cluster,publish_date,last_updated,last_validation,affiliate_products,traffic_estimate,status,word_count,readability,broken_links,missing_schema,missing_disclosure,missing_cta,pricing_signal,version_signal,duplicate_competitors_detected,reasons
blog/ai-website-builders-comparison,D:\AFFILATE BOT\site_output\blog\ai-website-builders-comparison\index.html,AI Website Builders Comparison,blog,2026-06-02,2026-06-02,2026-06-02,,0,Broken,1624,47.87,1,False,False,True,False,False,False,broken links detected
blog/automation-tools-for-beginners,D:\AFFILATE BOT\site_output\blog\automation-tools-for-beginners\index.html,Automation Tools for Beginners,blog,2026-06-02,2026-06-02,2026-06-02,,0,Broken,1612,48.69,1,False,False,True,False,False,True,broken links detected
blog/best-ai-presentation-tools,D:\AFFILATE BOT\site_output\blog\best-ai-presentation-tools\index.html,Best AI Presentation Tools,blog,2026-06-02,2026-06-02,2026-06-02,,0,Broken,1620,49.72,1,False,False,True,False,False,True,broken links detected
blog/best-ai-tools-for-small-business,D:\AFFILATE BOT\site_output\blog\best-ai-tools-for-small-business\index.html,Best AI Tools for Small Business,blog,2026-06-02,2026-06-02,2026-06-02,,0,Broken,1669,48.76,1,False,False,True,False,False,False,broken links detected
blog/best-ai-voice-generators,D:\AFFILATE BOT\site_output\blog\best-ai-voice-generators\index.html,Best AI Voice Generators,blog,2026-06-02,2026-06-02,2026-06-02,,0,Broken,1616,49.11,1,False,False,True,False,False,True,broken links detected
blog/best-alternatives-to-canva-ai,D:\AFFILATE BOT\site_output\blog\best-alternatives-to-canva-ai\index.html,Best Alternatives to Canva AI,blog,2026-06-02,2026-06-02,2026-06-02,Canva,0,Broken,1644,49.19,1,False,False,True,False,False,False,broken links detected
blog/best-crm-for-startups,D:\AFFILATE BOT\site_output\blog\best-crm-for-startups\index.html,Best CRM for Startups,blog,2026-06-02,2026-06-02,2026-06-02,,0,Broken,1608,49.24,1,False,False,True,False,False,False,broken links detected
blog/chatgpt-prompts-for-windsurf,D:\AFFILATE BOT\site_output\blog\chatgpt-prompts-for-windsurf\index.html,How to Use ChatGPT to Write Better Prompts for Windsurf,blog,2026-06-02,2026-06-02,2026-06-02,ChatGPT; Windsurf,0,Broken,2706,59.46,1,False,False,True,False,False,False,broken links detected
blog/chatgpt-windsurf-codex-workflow,D:\AFFILATE BOT\site_output\blog\chatgpt-windsurf-codex-workflow\index.html,"How I Use ChatGPT, Windsurf and Codex to Build Real AI Projects",blog,2026-06-02,2026-06-02,2026-06-02,ChatGPT; Windsurf; Codex,0,Broken,2885,60.24,1,False,False,True,False,False,False,broken links detected
blog/fix-windsurf-mixed-language,D:\AFFILATE BOT\site_output\blog\fix-windsurf-mixed-language\index.html,How to Fix Mixed English/Vietnamese Output from Windsurf,blog,2026-06-02,2026-06-02,2026-06-02,Windsurf,0,Broken,1800,56.28,1,False,False,True,False,False,False,broken links detected
blog/how-to-choose-saas-tools-safely,D:\AFFILATE BOT\site_output\blog\how-to-choose-saas-tools-safely\index.html,How to Choose SaaS Tools Safely,blog,2026-06-02,2026-06-02,2026-06-02,,0,Broken,1654,49.48,1,False,False,True,False,False,False,broken links detected
blog/windsurf-prompt-checklist,D:\AFFILATE BOT\site_output\blog\windsurf-prompt-checklist\index.html,Windsurf Prompt Checklist: What I Check Before Sending a Task,blog,2026-06-02,2026-06-02,2026-06-02,Windsurf,0,Broken,1811,59.01,1,False,False,True,False,False,False,broken links detected
blog/windsurf-to-codex-workflow,D:\AFFILATE BOT\site_output\blog\windsurf-to-codex-workflow\index.html,My Windsurf to Codex Workflow for Real Project Cleanup,blog,2026-06-02,2026-06-02,2026-06-02,Windsurf; Codex,0,Broken,1745,57.69,1,False,False,True,False,False,False,broken links detected
bolt,D:\AFFILATE BOT\site_output\bolt\index.html,Bolt Review,general,2026-06-02,2026-06-02,2026-06-02,bolt,0,Broken,2110,58.22,1,False,False,False,False,False,True,broken links detected
bolt-ai-review-2026,D:\AFFILATE BOT\site_output\bolt-ai-review-2026\index.html,Bolt AI Review 2026,review,2026-06-08,2026-06-08,2026-06-08,Bolt,0,Broken,1304,51.01,1,False,False,True,False,False,False,broken links detected
brevo-review-2026,D:\AFFILATE BOT\site_output\brevo-review-2026\index.html,Brevo Review 2026,review,2026-06-16,2026-06-16,2026-06-16,,0,Broken,2448,51.11,3,False,False,True,False,False,False,broken links detected
bunny-net-review-2026,D:\AFFILATE BOT\site_output\bunny-net-review-2026\index.html,"Bunny.net Review 2026: Features, Pricing, Pros, Cons & Alternatives",review,2026-06-13,2026-06-13,2026-06-13,,0,Broken,5988,58.1,3,False,False,True,True,False,False,broken links detected
canva,D:\AFFILATE BOT\site_output\canva\index.html,Canva Review,general,2026-06-02,2026-06-02,2026-06-02,canva,0,Broken,2074,58.5,1,False,False,False,False,False,True,broken links detected
categories,D:\AFFILATE BOT\site_output\categories\index.html,Categories,general,2026-07-06,2026-07-06,2026-07-06,,0,Broken,891,52.21,1,False,False,True,False,False,False,broken links detected
category/ai-automation-tools,D:\AFFILATE BOT\site_output\category\ai-automation-tools\index.html,AI Automation Tools,category,2026-07-06,2026-07-06,2026-07-06,,0,Broken,833,52.04,1,False,False,False,False,False,False,broken links detected
category/ai-coding-tools,D:\AFFILATE BOT\site_output\category\ai-coding-tools\index.html,AI Coding Tools: Research Guide and Shortlist,category,2026-07-06,2026-07-06,2026-07-06,cursor; github-copilot; windsurf; codeium,0,Broken,2020,54.04,1,False,False,False,False,False,False,broken links detected
category/ai-customer-support-tools,D:\AFFILATE BOT\site_output\category\ai-customer-support-tools\index.html,AI Customer Support Tools,category,2026-07-06,2026-07-06,2026-07-06,,0,Broken,818,51.05,2,False,False,False,False,False,False,broken links detected
category/ai-presentation-tools,D:\AFFILATE BOT\site_output\category\ai-presentation-tools\index.html,AI Presentation Tools,category,2026-07-06,2026-07-06,2026-07-06,,0,Broken,829,52.51,1,False,False,False,False,False,False,broken links detected
category/ai-seo-tools,D:\AFFILATE BOT\site_output\category\ai-seo-tools\index.html,AI SEO Tools,category,2026-07-06,2026-07-06,2026-07-06,,0,Broken,921,53.82,2,False,False,False,False,False,False,broken links detected
category/ai-video-tools,D:\AFFILATE BOT\site_output\category\ai-video-tools\index.html,AI Video Tools,category,2026-07-06,2026-07-06,2026-07-06,,0,Broken,873,51.72,1,False,False,False,False,False,False,broken links detected
category/ai-voice-tools,D:\AFFILATE BOT\site_output\category\ai-voice-tools\index.html,AI Voice Tools,category,2026-07-06,2026-07-06,2026-07-06,,0,Broken,815,51.53,1,False,False,False,False,False,False,broken links detected
category/ai-writing,D:\AFFILATE BOT\site_output\category\ai-writing\index.html,AI Writing,category,2026-07-06,2026-07-06,2026-07-06,,0,Broken,1356,54.5,1,False,False,False,False,False,True,broken links detected
category/ai-writing-tools,D:\AFFILATE BOT\site_output\category\ai-writing-tools\index.html,AI Writing Tools,category,2026-07-06,2026-07-06,2026-07-06,,0,Broken,861,53.16,1,False,False,False,False,False,False,broken links detected
category/automation,D:\AFFILATE BOT\site_output\category\automation\index.html,Automation,category,2026-07-06,2026-07-06,2026-07-06,,0,Broken,888,52.42,1,False,False,False,False,False,True,broken links detected
category/automation-tools,D:\AFFILATE BOT\site_output\category\automation-tools\index.html,Automation Tools: Research Guide and Shortlist,category,2026-07-06,2026-07-06,2026-07-06,make; zapier; reclaim-ai,0,Broken,1843,54.49,1,False,False,False,False,False,False,broken links detected
category/crm,D:\AFFILATE BOT\site_output\category\crm\index.html,CRM,category,2026-07-06,2026-07-06,2026-07-06,,0,Broken,831,52.06,1,False,False,False,False,False,True,broken links detected
category/crm-tools,D:\AFFILATE BOT\site_output\category\crm-tools\index.html,CRM Tools,category,2026-07-06,2026-07-06,2026-07-06,,0,Broken,835,52.01,1,False,False,False,False,False,False,broken links detected
category/design-tools,D:\AFFILATE BOT\site_output\category\design-tools\index.html,Design Tools: Research Guide and Shortlist,category,2026-07-06,2026-07-06,2026-07-06,canva; adcreative-ai; gamma,0,Broken,1868,54.97,2,False,False,False,False,False,False,broken links detected
category/email-marketing-tools,D:\AFFILATE BOT\site_output\category\email-marketing-tools\index.html,Email Marketing Tools: Research Guide and Shortlist,category,2026-07-06,2026-07-06,2026-07-06,activecampaign; mailchimp; hubspot,0,Broken,1865,54.09,1,False,False,False,False,False,False,broken links detected
category/seo-tools,D:\AFFILATE BOT\site_output\category\seo-tools\index.html,SEO Tools: Research Guide and Shortlist,category,2026-07-06,2026-07-06,2026-07-06,semrush; ahrefs; surfer-seo,0,Broken,1884,55.11,2,False,False,False,False,False,False,broken links detected
category/video-tools,D:\AFFILATE BOT\site_output\category\video-tools\index.html,Video Tools: Research Guide and Shortlist,category,2026-07-06,2026-07-06,2026-07-06,synthesia; runway; pictory; descript,0,Broken,1876,54.44,1,False,False,False,False,False,False,broken links detected
category/website-builder-tools,D:\AFFILATE BOT\site_output\category\website-builder-tools\index.html,Website Builder Tools: Research Guide and Shortlist,category,2026-07-06,2026-07-06,2026-07-06,webflow-ai; framer; durable,0,Broken,1862,53.34,1,False,False,False,False,False,False,broken links detected
category/website-builders,D:\AFFILATE BOT\site_output\category\website-builders\index.html,Website Builders,category,2026-07-06,2026-07-06,2026-07-06,,0,Broken,866,49.31,1,False,False,False,False,False,True,broken links detected
category/writing-tools,D:\AFFILATE BOT\site_output\category\writing-tools\index.html,Writing Tools: Research Guide and Shortlist,category,2026-07-06,2026-07-06,2026-07-06,jasper; copy-ai; grammarly; quillbot; notion-ai,0,Broken,1935,55.34,1,False,False,False,False,False,False,broken links detected
chatgpt,D:\AFFILATE BOT\site_output\chatgpt\index.html,ChatGPT Review,general,2026-06-02,2026-06-02,2026-06-02,chatgpt,0,Broken,2080,57.44,1,False,False,False,False,False,True,broken links detected
claude,D:\AFFILATE BOT\site_output\claude\index.html,Claude Review,general,2026-06-02,2026-06-02,2026-06-02,claude,0,Broken,2053,58.18,1,False,False,False,False,False,True,broken links detected
claude-code-vs-cursor,D:\AFFILATE BOT\site_output\claude-code-vs-cursor\index.html,Claude Code vs Cursor 2026: Which AI Coding Assistant Is Better?,general,2026-06-26,2026-06-26,2026-06-26,Cursor; Claude,0,Broken,2194,61.15,7,False,False,True,False,False,False,broken links detected
clickfunnels-review-2026,D:\AFFILATE BOT\site_output\clickfunnels-review-2026\index.html,ClickFunnels Review 2026,review,2026-06-16,2026-06-16,2026-06-16,,0,Broken,2456,51.05,3,False,False,True,False,False,False,broken links detected
